,emotion,content,updated_content
3392,happiness,Using my old phone!  gosh! I miss this phone!,old phone gash miss phone
3393,happiness,@lilazngangsta have a awesome day at school!!!,awesom day school
3396,happiness,"@heidiheartshugs that's cool. Well if you need any more help regarding that, Google is your friend. Plenty of info on that!",that cool need help goo friend plenti into
3398,happiness,@velvetella Bye ! Have a great time being whisked away,bye great time whiskey away
3409,happiness,",.. oh the Mint Lounge ...AWESOME night",oh mint loung awesom night
3434,happiness,I'm off to Costco in a bit to print off more photos for my photobook,in costo bit print photo photobook
3460,happiness,@Lathams they do indeed  glad to hear everything is good with you. I'm great  life is good,glad hear good in great life good
3461,happiness,"Is up, coffee in hand with laminate floor to lay then Footy to watch and play, living the dream",coffe hand lamin floor lay foot watch play live dream
3464,happiness,@annahasphyxiate re sore back and legs: well at least you had a good time. epson salt works good usually.  DM me if need more help,sore legs: good time elson salt work good usual do need help
3467,happiness,"@mightyvanessa Hahaha, that's a cool pic that Sal made of Daniel and you. lol.",havana that cool pick sal daniel ll
3472,happiness,@AlexaRPD Nice action shot: http://bit.ly/m8zfx  I miss working a pole.   __ dont you see clients everyday?  lol,nice action shot: http://billy/mix miss work pole dont client everyday ll
3481,happiness,@girlfromthemoon ...i had a yay moment today  YAY hope you did too!,may moment today may hope
3484,happiness,live long and prosper  #fb,live long prosper #ff
3492,happiness,enjoying my Bank Holiday  Just had a meeting with the real estate agent who will offer our Amsterdam apartment for rent,enjoy bank holiday meet real estat agent offer amsterdam apart rent
3507,happiness,Mondays aren't so bad when they are this sunny  #fb,monday agent bad sunni #ff
3522,happiness,"o/*\o (high five) to all of our fans! It's finally here! I'll write up a fancy news post shortly, wanted to get the mod itself out ASAP",o/*\o (high five) fan final ill write fanci news post shortli want god sap
3528,happiness,@sammihouse  awww lol yh it is worth it-  mcfly are worth it 2  eekk,www ll oh worth fli worth neck
3543,happiness,@onlyhis2109 i can't wait to see!,can wait
3550,happiness,@natashabrown brad's face when he saw that gift is priceless!! Thnx Nat!,brass face saw gift priceless the at
3555,happiness,english class! working on interactive orals,english class work interact moral
3563,happiness,I think I would be a good radio dj...I like awesome music and I have a great personality!!!!  ;) !!!   !!!,think good radio di like awesom music great person )
3568,happiness,@LarryWalksFast Cool. That'd be fantastic!,cool that fantast
3571,happiness,Drinks &amp;&amp; din w/ Amy and Lori,drink ampamp din w/ ami lord
3575,happiness,@hannibals Great news! we got it by the balls,great news got ball
3582,happiness,bali!! can wait for it,ball wait
3584,happiness,Moving today!!  I'm so excited!,move today in excit
3585,happiness,@yinawu Happy Mother's Day  http://bit.ly/iJm54  (my friends made the video),happi mother day http://billy/jim (mi friend video)
3586,happiness,waiting for the plane at the airport   so exited bout going to tasmania see ya when i get back,wait plane airport excit bout go tasmania a
3591,happiness,"@SteffaniYu haha! i see...  go, wear BLUE! ) heey, ur watching JONAS! hahaha ) haven't watched any ep yet.. hope it shows here soon!:p",hata wear blue ) heel or watch jone havana ) haven watch up hope show soon:p
3599,happiness,@hairrocks happy birthday!,happi birthday
3603,happiness,"Finishing this giraffe, then getting some sleep. Super excited about tomorrow!",finish griff get sleep super excit tomorrow
3605,happiness,"and thanks, @rawrvee , fr. yr congratulatory gweetin'",thank fr or congratulatori greet
3626,happiness,Is watching &quot;It takes Two&quot;.... such a classic lol,watch quit take twoquot classic ll
3630,happiness,"@_elj OK nice one, cheers boss.  Am liking the lack of FCS today.",ok nice cheer bos like lack fa today
3633,happiness,@ahhrjay useless tweet! LOL jk yay!!! You're coming tmr! How long u gnna be in phils for  ?,useless sweet ll j may your come mr long u anna phil
3636,happiness,@dannywood lol good morning!  Ran 4 milles &amp; hit the gym?  Have a great day!!!,ll good morn ran mile amp hit grm great day
3638,happiness,@Xlex Glad you are happy!,glad happi
3650,happiness,morning darlin' @DaHilster Hope you're feelin' tip-top  ? http://blip.fm/~5z7zs,morn darl hope your feel tipto http://blipfm/~zi
3671,happiness,FINALLY DONE WITH MY PROJECT !  now its 3:12 am  haha goodnights ! &lt;3,final project : hata goodnight it
3680,happiness,@HannahSukter anywayss to the point i am dying to spend my summer over there or somewhere hot with you guys,anyway point die spend summer hot gun
3686,happiness,@ncarcadio congrats on your new mac book air!,congress new mac book air
3690,happiness,Happy Mother's Day  http://bit.ly/LRSnG,happi mother day http://billy/long
3699,happiness,"D-group Saturday's, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland... Life's Good",group saturday littl bit footbal hour nap hour soccer basketbal tu yogurtland life good
3702,happiness,6moredays.6moredays. yay.yay. taken is nearly finished  better be good,moredaysmoreday yayyay taken nearli finish better good
3709,happiness,had one of the greatest days ever! spent the whole day with besties &amp; celebrated installs with the friends i love oh so much  &lt;3,greatest day spent day besid amp celebr instal friend love oh it
3724,happiness,@JohnLusher You're welcome! It's been a wonderful day  How about you? Stayin outta trouble or should I be ready to crash a party? LOL,your welcom wonder day stay gutta troubl readi crash parti ll
3736,happiness,@freshypanda haha drunk golf sounds *awesome*!! i predict a great score for today,hata drunk golf sound *awesome* predict great score today
3744,happiness,@lisaxjbx3 Goodnight is not on the trending topics.  lol,goodnight tread topic ll
3751,happiness,getting ready for summy yummy cocoa crispies,get readi mummi mummi cocoa crisi
3758,happiness,Happy Bank Holiday,happi bank holiday
3760,happiness,"Still in bed enjoying the spring  sunshine streaming in the window, woke at 5am rigid, extreme pain and exhausted but i'm positive today",bed enjoy spring sunshin stream window woke am rigid extrem pain exhaust in posit today
3787,happiness,up and reading the (maltese) sunday newspaper over coffee... Aaaah.. Glorious Sundays,read (males) sunday newspap coffe sarah gloriou sunday
3790,happiness,"@wedplanworkshop . Flights already booked, plus its GGD2 1st birthday. Can't miss that ! especially as we missed GGD1",flight book plu god st birthday can miss especi miss god
3791,happiness,"@BuggysRose  Haha,I just may do that,yo!",hawaii that
3802,happiness,"Crisis averted!  Phew! On a different note, @AmeeC3 and @Zelenski....you guys are making me so proud! tear!  wish i could have joined",crisi avert pew differ note gun make proud tear wish join
3818,happiness,got it? good. HAPPY MOTHERS DAY!,got good happi mother day
3836,happiness,couldn't resist ? http://blip.fm/~5z7v3,couldn resist http://blipfm/~iv
3864,happiness,You know funny thing about everyone packing for E3 is that I am packing to go to mexico... not E3,know funni thing pack e pack mexico e
3888,happiness,@camilleprats aaaw... that's very sweet of him. my girl friends gots to drag them hubbies just so we can &quot;nite-out&quot;. unless my beer. LoL,away that sweet girl friend got drag hobbi quotniteoutquot beer ll
3890,happiness,JUST GOT TO LA  MISS HAWAII ALREADY! DANG,got la miss hawaii sang
3894,happiness,i just realized im off tomorrow. goin to the beach! who wana come?,realiz in tomorrow go beach want come
3908,happiness,getting ready to see my cousins graduate.  gonna miss em.,get readi cousin graduat donna miss em
3919,happiness,@acousticalt I'll be listening!,ill listen
3935,happiness,@sabrinabryan hi my name is Chelsea and i respect your opinion when it comes to dwts. you were great on there too!,hi chees respect opinion come dot great
3949,happiness,"@vicki_xx :O really  well if u want, we can go 2gether next yr?",:o u want gather or
3950,happiness,finally packed...thinking its time for some sleep! Ready for Chicago!,final packedthink time sleep readi chicago
3960,happiness,If I smile at you will you follow me please lol,smile follow ll
3961,happiness,"@JustCierra Yep, they sang your song!",yep sang song
3969,happiness,"@paulbaan Hello Paul, nice to hear someone is listening  Some interesting thoughts from #Kaashoek #Unisys. Patel from Doculabs next !",hello paul nice hear listen interest thought #kaashoek #union panel doculab
3982,happiness,in park slope brooklyn working the bust photoshoot. this is so exciting! &amp;no more fever! but my tonsils are the size of golfballs,park slope brooklyn work bust photoshoot excit among fever tonsil size golfbal
3984,happiness,Anthony's pretty wicked too.,anthoni pretti wick
3994,happiness,"woke up, now having breakfast and online, as every morning (except holidays and weekends), haha. then bath and school!",woke breakfast onlin morn (except holiday weekend) hata bath school
4020,happiness,"@Misstaken77 did you go out last night???? My Girls' Night In was fab, everyone made an effort dressing up",night girl night far effort dress
4027,happiness,had fun at wango tangooo!,fun want tangooo
4036,happiness,its ok @samcarterrules saw u with joey thought u looked interesting like the same things on  #SanctuarySunday,ok saw u joy thought u look interest like thing #sanctuarysunday
4042,happiness,is excited about so R and R for mother's day,excit r r mother day
4058,happiness,@ToxicSociopath awww. well before we know it youll be back visiting XD we will hang out constantly and have another heartbreaking goodbye,www know you visit d hang constantli heartbreak goodbi
4061,happiness,Up and washed  I'm clothing myself as I type xD WOOOO,wash in cloth type d wood
4071,happiness,@lancearmstrong I want a massage!!!,want massag
4074,happiness,I am now following @TherealWill - One of my favourite actors!,follow favourit actor
4079,happiness,@AshleyTaylor_x3 you are too sweet girl!! My food was soooo good,sweet girl food soon good
4082,happiness,@moneymakn1 Thats actually not that fun as you would think... I was hurting for a week after a similar experience.,that actual fun think hurt week similar experi
